VendorID ,tpep_pickup_datetime ,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID ,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,Airport_fee
2,12/1/2023 1:27,12/1/2023 1:34,2,0.97,1,N,79,144,1,8.6,1,0.5,2,0,1,15.6,2.5,0
2,12/1/2023 1:16,12/1/2023 1:37,1,5.32,1,N,75,226,1,26.8,1,0.5,6.36,0,1,38.16,2.5,0
1,12/1/2023 1:11,12/1/2023 1:36,1,9.7,1,N,68,243,2,42.2,2.5,0.5,0,0,1,46.2,2.5,0
2,12/1/2023 1:20,12/1/2023 1:30,1,2.49,1,N,142,68,1,12.8,1,0.5,3.56,0,1,21.36,2.5,0
2,12/1/2023 1:05,12/1/2023 1:12,1,1.57,1,N,114,170,1,10,1,0.5,1.5,0,1,16.5,2.5,0
2,12/1/2023 1:29,12/1/2023 1:35,1,1.5,1,N,114,137,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,12/1/2023 1:56,12/1/2023 2:01,1,1.64,1,N,79,233,1,8.6,1,0.5,2.72,0,1,16.32,2.5,0
1,12/1/2023 1:10,12/1/2023 1:15,1,1,1,N,229,170,1,7.2,3.5,0.5,1.5,0,1,13.7,2.5,0
1,12/1/2023 1:18,12/1/2023 1:26,1,2.2,1,N,233,262,1,11.4,3.5,0.5,2,0,1,18.4,2.5,0
1,12/1/2023 1:32,12/1/2023 1:36,4,1.1,1,N,141,263,1,7.2,3.5,0.5,2,0,1,14.2,2.5,0
2,12/1/2023 1:08,12/1/2023 1:10,1,1.16,1,N,236,75,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
1,12/1/2023 1:11,12/1/2023 1:13,0,0.6,1,N,186,90,1,5.1,3.5,0.5,2,0,1,12.1,2.5,0
1,12/1/2023 1:31,12/1/2023 1:41,0,2.2,1,N,231,164,1,12.1,3.5,0.5,3.4,0,1,20.5,2.5,0
1,12/1/2023 1:54,12/1/2023 2:17,0,7.5,1,N,211,226,2,33.1,3.5,0.5,0,0,1,38.1,2.5,0
2,12/1/2023 1:11,12/1/2023 1:17,4,1.16,1,N,234,68,1,8.6,1,0.5,0,0,1,13.6,2.5,0
2,12/1/2023 1:19,12/1/2023 1:26,5,1.26,1,N,68,114,1,9.3,1,0.5,2.86,0,1,17.16,2.5,0
2,12/1/2023 1:52,12/1/2023 1:54,5,0.27,1,N,234,234,1,4.4,1,0.5,1,0,1,10.4,2.5,0
2,12/1/2023 1:09,12/1/2023 1:11,1,0.41,1,N,162,230,2,4.4,1,0.5,0,0,1,9.4,2.5,0
1,12/1/2023 1:06,12/1/2023 1:32,1,5.9,1,N,163,256,1,26.1,3.5,0.5,6.2,0,1,37.3,2.5,0
2,12/1/2023 1:02,12/1/2023 1:16,1,3.28,1,N,90,143,1,17,1,0.5,1.5,0,1,23.5,2.5,0
1,12/1/2023 1:08,12/1/2023 1:14,1,0,1,N,140,262,1,4.4,3.5,0.5,2,0,1,11.4,2.5,0
1,12/1/2023 1:46,12/1/2023 1:55,1,2.2,1,N,79,256,1,11.4,3.5,0.5,3.3,0,1,19.7,2.5,0
2,12/1/2023 1:27,12/1/2023 1:44,2,5.38,1,N,249,151,1,25.4,1,0.5,4.56,0,1,34.96,2.5,0
2,12/1/2023 1:15,12/1/2023 1:33,1,4.36,1,N,230,112,1,21.9,1,0.5,8.46,6.94,1,42.3,2.5,0
2,12/1/2023 1:58,12/1/2023 2:05,1,2.68,1,N,137,141,1,12.1,1,0.5,3.42,0,1,20.52,2.5,0
1,12/1/2023 1:31,12/1/2023 1:46,1,3.8,1,N,48,262,1,19.1,3.5,0.5,4.8,0,1,28.9,2.5,0
2,12/1/2023 1:32,12/1/2023 1:35,1,1.11,1,N,249,90,4,-6.5,-1,-0.5,0,0,-1,-11.5,-2.5,0
2,12/1/2023 1:32,12/1/2023 1:35,1,1.11,1,N,249,90,4,6.5,1,0.5,0,0,1,11.5,2.5,0
1,12/1/2023 1:04,12/1/2023 1:04,1,0,1,N,141,141,2,3,3.5,0.5,0,0,1,8,2.5,0
1,12/1/2023 1:21,12/1/2023 1:28,1,1.5,1,N,48,239,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
1,12/1/2023 1:50,12/1/2023 2:00,1,1.6,1,N,249,68,1,10.7,3.5,0.5,3.15,0,1,18.85,2.5,0
1,12/1/2023 1:57,12/1/2023 2:02,1,1.2,1,N,144,264,1,7.9,3.5,0.5,1.11,0,1,14.01,2.5,0
2,12/1/2023 1:15,12/1/2023 1:20,1,0.63,1,N,48,161,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,12/1/2023 1:24,12/1/2023 1:27,1,0.39,1,N,234,90,1,5.1,1,0.5,2.02,0,1,12.12,2.5,0
2,12/1/2023 1:31,12/1/2023 1:34,1,0.79,1,N,186,100,1,5.8,1,0.5,1.5,0,1,12.3,2.5,0
2,12/1/2023 1:20,12/1/2023 1:29,1,1.7,1,N,234,79,1,11.4,1,0.5,2,0,1,18.4,2.5,0
2,12/1/2023 1:42,12/1/2023 1:47,1,0.78,1,N,211,114,1,7.2,1,0.5,3.66,0,1,15.86,2.5,0
2,12/1/2023 1:53,12/1/2023 2:03,1,2.95,1,N,144,246,2,14.9,1,0.5,0,0,1,19.9,2.5,0
2,12/1/2023 1:05,12/1/2023 1:34,1,4.5,1,N,13,68,2,28.2,1,0.5,0,0,1,33.2,2.5,0
1,12/1/2023 1:10,12/1/2023 1:17,1,0.9,1,N,114,113,1,7.9,3.5,0.5,0,0,1,12.9,2.5,0
1,12/1/2023 1:34,12/1/2023 1:47,1,3.1,1,N,230,262,1,15.6,3.5,0.5,4.1,0,1,24.7,2.5,0
2,12/1/2023 1:39,12/1/2023 1:56,1,3.47,1,N,144,50,1,18.4,1,0.5,0,0,1,23.4,2.5,0
2,12/1/2023 1:29,12/1/2023 1:36,1,1.13,1,N,114,249,1,8.6,1,0.5,2,0,1,15.6,2.5,0
2,12/1/2023 1:49,12/1/2023 1:56,3,1.31,1,N,113,90,1,9.3,1,0.5,1.7,0,1,16,2.5,0
2,12/1/2023 1:57,12/1/2023 2:10,1,6.17,1,N,142,244,1,26.1,1,0.5,4,0,1,35.1,2.5,0
2,12/1/2023 1:04,12/1/2023 1:24,1,8.53,1,N,125,116,1,35.9,1,0.5,0,0,1,40.9,2.5,0
2,12/1/2023 1:30,12/1/2023 1:41,1,2.43,1,N,116,247,2,14.2,1,0.5,0,0,1,16.7,0,0
1,12/1/2023 1:01,12/1/2023 1:06,1,0.6,1,N,158,249,1,5.8,3.5,0.5,0,0,1,10.8,2.5,0
1,12/1/2023 1:31,12/1/2023 1:39,1,1.3,1,N,249,144,2,8.6,3.5,0.5,0,0,1,13.6,2.5,0
2,12/1/2023 1:32,12/1/2023 1:52,1,5.44,1,N,249,49,1,26.8,1,0.5,7.95,0,1,39.75,2.5,0
2,12/1/2023 1:21,12/1/2023 1:32,1,3.42,1,N,107,262,1,15.6,1,0.5,3.2,0,1,23.8,2.5,0
2,12/1/2023 1:29,12/1/2023 1:37,1,1.98,1,N,230,141,1,10.7,1,0.5,3.14,0,1,18.84,2.5,0
2,12/1/2023 1:38,12/1/2023 1:47,1,2.47,1,N,141,162,1,12.8,1,0.5,4.45,0,1,22.25,2.5,0
1,12/1/2023 1:12,12/1/2023 1:30,1,4.6,1,N,48,75,1,23.3,3.5,0.5,5.65,0,1,33.95,2.5,0
1,12/1/2023 1:49,12/1/2023 1:54,1,1.4,1,N,48,158,1,8.6,3.5,0.5,2.7,0,1,16.3,2.5,0
1,12/1/2023 1:20,12/1/2023 1:36,1,3.2,1,N,100,148,1,17,3.5,0.5,1,0,1,23,2.5,0
2,12/1/2023 1:12,12/1/2023 1:16,1,0.83,1,N,48,50,1,6.5,1,0.5,2.3,0,1,13.8,2.5,0
2,12/1/2023 1:21,12/1/2023 1:46,2,9.43,1,N,163,95,1,40.1,1,0.5,9.02,0,1,54.12,2.5,0
